time,signal,price,qty,fee,balance,position,pnl
2025-11-27 13:30:00,buy,136398000.0000,0.00007331,5.00,970636.68,0.00021993,0.00
2025-11-27 17:00:00,sell,136637000.0000,0.00021993,15.03,1000671.80,0.00000000,20.12
2025-11-27 21:40:00,buy,136433000.0000,0.00007330,5.00,990666.80,0.00007330,0.00
2025-11-27 21:55:00,buy,136258000.0000,0.00007339,5.00,980661.80,0.00014669,0.00
2025-11-27 22:15:00,buy,135508000.0000,0.00007380,5.00,970656.80,0.00022048,0.00
2025-11-27 22:20:00,buy,135606000.0000,0.00007374,5.00,960651.80,0.00029423,0.00
2025-11-27 22:30:00,buy,135640000.0000,0.00007372,5.00,950646.80,0.00036795,0.00
2025-11-27 23:25:00,sell,136451000.0000,0.00036795,25.10,1000828.87,0.00000000,157.07
2025-11-28 06:05:00,buy,136981000.0000,0.00007300,5.00,990823.87,0.00007300,0.00
2025-11-28 10:15:00,buy,136053000.0000,0.00007350,5.00,980818.87,0.00014650,0.00
2025-11-28 10:55:00,buy,136199000.0000,0.00007342,5.00,970813.87,0.00021993,0.00
2025-11-28 11:05:00,buy,135965000.0000,0.00007355,5.00,960808.87,0.00029347,0.00
2025-11-28 11:45:00,buy,135934000.0000,0.00007357,5.00,950803.87,0.00036704,0.00
2025-11-28 12:15:00,sell,136655000.0000,0.00036704,25.08,1000936.51,0.00000000,107.64
2025-11-28 17:30:00,buy,136789000.0000,0.00007311,5.00,990931.51,0.00007311,0.00
2025-11-28 17:55:00,sell,137319000.0000,0.00007311,5.02,1000965.24,0.00000000,28.73
2025-11-29 01:05:00,buy,138040000.0000,0.00007244,5.00,990960.24,0.00007244,0.00
2025-11-29 01:10:00,buy,137701000.0000,0.00007262,5.00,980955.24,0.00014506,0.00
2025-11-29 01:15:00,buy,137853000.0000,0.00007254,5.00,970950.24,0.00021760,0.00
2025-11-29 01:20:00,buy,137156000.0000,0.00007291,5.00,960945.24,0.00029051,0.00
2025-11-29 01:25:00,buy,136997000.0000,0.00007299,5.00,950940.24,0.00036351,0.00
2025-11-29 01:30:00,buy,137273000.0000,0.00007285,5.00,940935.24,0.00043636,0.00
2025-11-29 01:35:00,buy,137308000.0000,0.00007283,5.00,930930.24,0.00050919,0.00
2025-11-29 01:40:00,buy,137571000.0000,0.00007269,5.00,920925.24,0.00058188,0.00
2025-11-29 01:45:00,buy,137466000.0000,0.00007275,5.00,910920.24,0.00065462,0.00
2025-11-29 01:50:00,buy,137108000.0000,0.00007294,5.00,900915.24,0.00072756,0.00
2025-11-29 01:55:00,buy,136621000.0000,0.00007320,5.00,890910.24,0.00080075,0.00
2025-11-29 02:00:00,buy,136781000.0000,0.00007311,5.00,880905.24,0.00087386,0.00
2025-11-29 02:05:00,buy,136842000.0000,0.00007308,5.00,870900.24,0.00094694,0.00
2025-11-29 02:10:00,buy,136743000.0000,0.00007313,5.00,860895.24,0.00102007,0.00
2025-11-29 02:15:00,buy,136400000.0000,0.00007331,5.00,850890.24,0.00109338,0.00
2025-11-29 02:20:00,buy,136244000.0000,0.00007340,5.00,840885.24,0.00116678,0.00
2025-11-29 02:25:00,buy,136065000.0000,0.00007349,5.00,830880.24,0.00124027,0.00
2025-11-29 02:30:00,buy,135859000.0000,0.00007361,5.00,820875.24,0.00131388,0.00
2025-11-29 02:40:00,buy,135776000.0000,0.00007365,5.00,810870.24,0.00138753,0.00
2025-11-29 02:50:00,buy,136243000.0000,0.00007340,5.00,800865.24,0.00146093,0.00
2025-11-29 02:55:00,buy,136150000.0000,0.00007345,5.00,790860.24,0.00153438,0.00
2025-11-29 06:55:00,buy,136590000.0000,0.00007321,5.00,780855.24,0.00160759,0.00
2025-11-29 09:10:00,buy,136310000.0000,0.00007336,5.00,770850.24,0.00168095,0.00
2025-11-29 09:15:00,buy,136309000.0000,0.00007336,5.00,760845.24,0.00175431,0.00
2025-11-29 13:05:00,buy,135935000.0000,0.00007356,5.00,750840.24,0.00182788,0.00
2025-11-29 13:10:00,buy,135889000.0000,0.00007359,5.00,740835.24,0.00190147,0.00
2025-11-29 13:15:00,buy,135790000.0000,0.00007364,5.00,730830.24,0.00197511,0.00
2025-11-29 13:20:00,buy,135699000.0000,0.00007369,5.00,720825.24,0.00204880,0.00
2025-11-29 13:25:00,buy,135793000.0000,0.00007364,5.00,710820.24,0.00212244,0.00
2025-11-29 13:30:00,buy,135900000.0000,0.00007358,5.00,700815.24,0.00219603,0.00
2025-11-29 14:20:00,sell,136170000.0000,0.00219603,149.52,999698.79,0.00000000,-1266.44
2025-11-29 15:20:00,buy,135701000.0000,0.00007369,5.00,989693.79,0.00007369,0.00
2025-11-29 15:30:00,buy,135584000.0000,0.00007376,5.00,979688.79,0.00014745,0.00
2025-11-29 16:50:00,buy,135539000.0000,0.00007378,5.00,969683.79,0.00022123,0.00
2025-11-29 17:40:00,sell,135830000.0000,0.00022123,15.02,999717.89,0.00000000,19.10
2025-11-29 18:25:00,buy,135660000.0000,0.00007371,5.00,989712.89,0.00007371,0.00
2025-11-29 18:30:00,buy,135630000.0000,0.00007373,5.00,979707.89,0.00014744,0.00
2025-11-29 18:35:00,buy,135605000.0000,0.00007374,5.00,969702.89,0.00022119,0.00
2025-11-29 22:25:00,sell,136000000.0000,0.00022119,15.04,999769.32,0.00000000,51.43
2025-11-29 23:55:00,buy,135894000.0000,0.00007359,5.00,989764.32,0.00007359,0.00
2025-11-30 00:00:00,buy,135900000.0000,0.00007358,5.00,979759.32,0.00014717,0.00
2025-11-30 00:15:00,sell,136332000.0000,0.00014717,10.03,999813.31,0.00000000,43.99
2025-11-30 02:25:00,buy,135842000.0000,0.00007361,5.00,989808.31,0.00007361,0.00
2025-11-30 02:30:00,buy,135517000.0000,0.00007379,5.00,979803.31,0.00014741,0.00
2025-11-30 02:45:00,buy,135548000.0000,0.00007377,5.00,969798.31,0.00022118,0.00
2025-11-30 02:50:00,buy,135502000.0000,0.00007380,5.00,959793.31,0.00029498,0.00
2025-11-30 02:55:00,buy,135462000.0000,0.00007382,5.00,949788.31,0.00036880,0.00
2025-11-30 03:00:00,buy,135522000.0000,0.00007379,5.00,939783.31,0.00044259,0.00
2025-11-30 03:10:00,buy,135453000.0000,0.00007383,5.00,929778.31,0.00051642,0.00
2025-11-30 03:15:00,buy,135401000.0000,0.00007385,5.00,919773.31,0.00059027,0.00
2025-11-30 04:20:00,sell,136036000.0000,0.00059027,40.15,1000031.39,0.00000000,218.08
2025-11-30 05:20:00,buy,135739000.0000,0.00007367,5.00,990026.39,0.00007367,0.00
2025-11-30 06:10:00,sell,136159000.0000,0.00007367,5.02,1000052.31,0.00000000,20.93
2025-11-30 07:50:00,buy,136000000.0000,0.00007353,5.00,990047.31,0.00007353,0.00
2025-11-30 07:55:00,buy,135998000.0000,0.00007353,5.00,980042.31,0.00014706,0.00
2025-11-30 09:55:00,sell,136252000.0000,0.00014706,10.02,1000069.50,0.00000000,17.19
2025-11-30 11:55:00,buy,135917000.0000,0.00007357,5.00,990064.50,0.00007357,0.00
2025-11-30 12:15:00,buy,135670000.0000,0.00007371,5.00,980059.50,0.00014728,0.00
2025-11-30 12:20:00,buy,135778000.0000,0.00007365,5.00,970054.50,0.00022093,0.00
2025-11-30 13:15:00,sell,136201000.0000,0.00022093,15.05,1000130.64,0.00000000,61.14
2025-11-30 14:05:00,buy,135979000.0000,0.00007354,5.00,990125.64,0.00007354,0.00
2025-11-30 14:10:00,buy,135880000.0000,0.00007359,5.00,980120.64,0.00014714,0.00
2025-11-30 14:15:00,buy,135835000.0000,0.00007362,5.00,970115.64,0.00022075,0.00
2025-11-30 14:20:00,buy,135832000.0000,0.00007362,5.00,960110.64,0.00029437,0.00
2025-11-30 14:25:00,buy,135836000.0000,0.00007362,5.00,950105.64,0.00036799,0.00
2025-11-30 14:30:00,buy,135892000.0000,0.00007359,5.00,940100.64,0.00044158,0.00
2025-11-30 14:40:00,buy,135904000.0000,0.00007358,5.00,930095.64,0.00051516,0.00
2025-11-30 14:45:00,buy,135905000.0000,0.00007358,5.00,920090.64,0.00058874,0.00
2025-11-30 15:20:00,sell,136047000.0000,0.00058874,40.05,1000147.23,0.00000000,16.59
2025-11-30 23:30:00,buy,136974000.0000,0.00007301,5.00,990142.23,0.00007301,0.00
2025-11-30 23:35:00,buy,136759000.0000,0.00007312,5.00,980137.23,0.00014613,0.00
2025-11-30 23:40:00,buy,136891000.0000,0.00007305,5.00,970132.23,0.00021918,0.00
2025-12-01 01:45:00,sell,137399000.0000,0.00021918,15.06,1000232.11,0.00000000,84.88
2025-12-01 06:15:00,buy,136430000.0000,0.00007330,5.00,990227.11,0.00007330,0.00
2025-12-01 06:20:00,buy,136287000.0000,0.00007337,5.00,980222.11,0.00014667,0.00
2025-12-01 08:15:00,buy,136202000.0000,0.00007342,5.00,970217.11,0.00022009,0.00
2025-12-01 08:20:00,buy,136201000.0000,0.00007342,5.00,960212.11,0.00029351,0.00
2025-12-01 08:25:00,buy,136000000.0000,0.00007353,5.00,950207.11,0.00036704,0.00
2025-12-01 08:30:00,buy,136022000.0000,0.00007352,5.00,940202.11,0.00044056,0.00
2025-12-01 08:35:00,buy,136020000.0000,0.00007352,5.00,930197.11,0.00051408,0.00
2025-12-01 08:50:00,buy,135801000.0000,0.00007364,5.00,920192.11,0.00058772,0.00
2025-12-01 08:55:00,buy,135744000.0000,0.00007367,5.00,910187.11,0.00066138,0.00
2025-12-01 09:00:00,buy,135058000.0000,0.00007404,5.00,900182.11,0.00073543,0.00
2025-12-01 09:05:00,buy,134088000.0000,0.00007458,5.00,890177.11,0.00081000,0.00
2025-12-01 09:10:00,buy,133555000.0000,0.00007488,5.00,880172.11,0.00088488,0.00
2025-12-01 09:15:00,buy,133060000.0000,0.00007515,5.00,870167.11,0.00096003,0.00
2025-12-01 09:20:00,buy,132550000.0000,0.00007544,5.00,860162.11,0.00103548,0.00
2025-12-01 09:25:00,buy,132255000.0000,0.00007561,5.00,850157.11,0.00111109,0.00
2025-12-01 09:30:00,buy,131546000.0000,0.00007602,5.00,840152.11,0.00118711,0.00
2025-12-01 09:35:00,buy,131520000.0000,0.00007603,5.00,830147.11,0.00126314,0.00
2025-12-01 09:40:00,buy,131551000.0000,0.00007602,5.00,820142.11,0.00133916,0.00
2025-12-01 09:45:00,buy,131010000.0000,0.00007633,5.00,810137.11,0.00141549,0.00
2025-12-01 09:50:00,buy,130357000.0000,0.00007671,5.00,800132.11,0.00149220,0.00
2025-12-01 09:55:00,buy,130208000.0000,0.00007680,5.00,790127.11,0.00156900,0.00
2025-12-01 10:00:00,buy,130886000.0000,0.00007640,5.00,780122.11,0.00164540,0.00
2025-12-01 10:05:00,buy,131244000.0000,0.00007619,5.00,770117.11,0.00172160,0.00
2025-12-01 10:10:00,buy,131062000.0000,0.00007630,5.00,760112.11,0.00179790,0.00
2025-12-01 10:15:00,buy,131431000.0000,0.00007609,5.00,750107.11,0.00187398,0.00
2025-12-01 10:20:00,buy,131230000.0000,0.00007620,5.00,740102.11,0.00195018,0.00
2025-12-01 11:25:00,buy,130670000.0000,0.00007653,5.00,730097.11,0.00202671,0.00
2025-12-01 11:30:00,buy,130600000.0000,0.00007657,5.00,720092.11,0.00210328,0.00
2025-12-01 11:35:00,buy,130030000.0000,0.00007691,5.00,710087.11,0.00218019,0.00
2025-12-01 11:40:00,buy,130060000.0000,0.00007689,5.00,700082.11,0.00225708,0.00
2025-12-01 11:45:00,buy,129740000.0000,0.00007708,5.00,690077.11,0.00233415,0.00
2025-12-01 11:50:00,buy,129854000.0000,0.00007701,5.00,680072.11,0.00241116,0.00
2025-12-01 11:55:00,buy,129825000.0000,0.00007703,5.00,670067.11,0.00248819,0.00
2025-12-01 12:00:00,buy,129800000.0000,0.00007704,5.00,660062.11,0.00256523,0.00
2025-12-01 12:05:00,buy,129368000.0000,0.00007730,5.00,650057.11,0.00264253,0.00
2025-12-01 12:10:00,buy,129355000.0000,0.00007731,5.00,640052.11,0.00271984,0.00
2025-12-01 12:15:00,buy,129471000.0000,0.00007724,5.00,630047.11,0.00279707,0.00
2025-12-01 12:20:00,buy,129502000.0000,0.00007722,5.00,620042.11,0.00287429,0.00
2025-12-01 12:25:00,buy,129376000.0000,0.00007729,5.00,610037.11,0.00295159,0.00
2025-12-01 12:30:00,buy,129258000.0000,0.00007736,5.00,600032.11,0.00302895,0.00
2025-12-01 12:35:00,buy,129100000.0000,0.00007746,5.00,590027.11,0.00310641,0.00
2025-12-01 12:40:00,buy,129528000.0000,0.00007720,5.00,580022.11,0.00318361,0.00
2025-12-01 13:25:00,buy,128539000.0000,0.00007780,5.00,570017.11,0.00326141,0.00
2025-12-01 13:50:00,buy,128300000.0000,0.00007794,5.00,560012.11,0.00333935,0.00
2025-12-01 13:55:00,buy,128268000.0000,0.00007796,5.00,550007.11,0.00341732,0.00
2025-12-01 14:00:00,buy,128445000.0000,0.00007785,5.00,540002.11,0.00349517,0.00
2025-12-01 14:05:00,buy,128189000.0000,0.00007801,5.00,529997.11,0.00357318,0.00
2025-12-01 14:15:00,buy,128300000.0000,0.00007794,5.00,519992.11,0.00365112,0.00
2025-12-01 15:00:00,sell,129439000.0000,0.00365112,236.30,992353.39,0.00000000,-7878.72
2025-12-01 19:05:00,buy,129833000.0000,0.00007702,5.00,982348.39,0.00007702,0.00
2025-12-01 19:10:00,buy,129725000.0000,0.00007709,5.00,972343.39,0.00015411,0.00
2025-12-01 19:15:00,buy,129555000.0000,0.00007719,5.00,962338.39,0.00023130,0.00
2025-12-01 19:25:00,buy,129404000.0000,0.00007728,5.00,952333.39,0.00030857,0.00
2025-12-01 19:30:00,buy,129475000.0000,0.00007723,5.00,942328.39,0.00038581,0.00
2025-12-01 20:00:00,buy,129487000.0000,0.00007723,5.00,932323.39,0.00046304,0.00
2025-12-01 20:05:00,buy,129350000.0000,0.00007731,5.00,922318.39,0.00054035,0.00
2025-12-01 20:10:00,buy,129290000.0000,0.00007735,5.00,912313.39,0.00061769,0.00
2025-12-01 20:15:00,buy,129266000.0000,0.00007736,5.00,902308.39,0.00069505,0.00
2025-12-01 20:20:00,buy,129176000.0000,0.00007741,5.00,892303.39,0.00077246,0.00
2025-12-01 20:30:00,buy,129032000.0000,0.00007750,5.00,882298.39,0.00084996,0.00
2025-12-01 20:40:00,buy,129007000.0000,0.00007752,5.00,872293.39,0.00092748,0.00
2025-12-01 20:45:00,buy,129039000.0000,0.00007750,5.00,862288.39,0.00100498,0.00
2025-12-01 20:55:00,buy,128939000.0000,0.00007756,5.00,852283.39,0.00108253,0.00
2025-12-01 21:00:00,buy,128887000.0000,0.00007759,5.00,842278.39,0.00116012,0.00
2025-12-01 21:05:00,buy,128500000.0000,0.00007782,5.00,832273.39,0.00123794,0.00
2025-12-01 21:10:00,buy,128268000.0000,0.00007796,5.00,822268.39,0.00131590,0.00
2025-12-01 21:15:00,buy,128318000.0000,0.00007793,5.00,812263.39,0.00139383,0.00
2025-12-01 21:20:00,buy,128505000.0000,0.00007782,5.00,802258.39,0.00147165,0.00
2025-12-01 21:25:00,buy,128200000.0000,0.00007800,5.00,792253.39,0.00154965,0.00
2025-12-01 21:30:00,buy,128000000.0000,0.00007813,5.00,782248.39,0.00162778,0.00
2025-12-01 21:35:00,buy,128140000.0000,0.00007804,5.00,772243.39,0.00170582,0.00
2025-12-01 21:40:00,buy,127650000.0000,0.00007834,5.00,762238.39,0.00178416,0.00
2025-12-01 21:45:00,buy,126608000.0000,0.00007898,5.00,752233.39,0.00186314,0.00
2025-12-01 22:55:00,sell,128669000.0000,0.00186314,119.86,991842.16,0.00000000,-511.23
2025-12-02 00:15:00,buy,128056000.0000,0.00007809,5.00,981837.16,0.00007809,0.00
2025-12-02 00:20:00,buy,127608000.0000,0.00007836,5.00,971832.16,0.00015646,0.00
2025-12-02 00:25:00,buy,127050000.0000,0.00007871,5.00,961827.16,0.00023516,0.00
2025-12-02 00:30:00,buy,126498000.0000,0.00007905,5.00,951822.16,0.00031422,0.00
2025-12-02 00:35:00,buy,126582000.0000,0.00007900,5.00,941817.16,0.00039322,0.00
2025-12-02 00:40:00,buy,125891000.0000,0.00007943,5.00,931812.16,0.00047265,0.00
2025-12-02 00:45:00,buy,126407000.0000,0.00007911,5.00,921807.16,0.00055176,0.00
2025-12-02 00:50:00,buy,126987000.0000,0.00007875,5.00,911802.16,0.00063051,0.00
2025-12-02 00:55:00,buy,126792000.0000,0.00007887,5.00,901797.16,0.00070938,0.00
2025-12-02 01:00:00,buy,126504000.0000,0.00007905,5.00,891792.16,0.00078843,0.00
2025-12-02 01:05:00,buy,125979000.0000,0.00007938,5.00,881787.16,0.00086781,0.00
2025-12-02 01:10:00,buy,126005000.0000,0.00007936,5.00,871782.16,0.00094717,0.00
2025-12-02 01:15:00,buy,126004000.0000,0.00007936,5.00,861777.16,0.00102653,0.00
2025-12-02 03:20:00,sell,127900000.0000,0.00102653,65.65,993004.75,0.00000000,1162.59
2025-12-02 12:25:00,buy,128971000.0000,0.00007754,5.00,982999.75,0.00007754,0.00
2025-12-02 12:30:00,buy,128771000.0000,0.00007766,5.00,972994.75,0.00015519,0.00
2025-12-02 15:50:00,sell,130205000.0000,0.00015519,10.10,993191.69,0.00000000,186.94
2025-12-02 17:20:00,buy,129530000.0000,0.00007720,5.00,983186.69,0.00007720,0.00
2025-12-02 17:25:00,buy,129216000.0000,0.00007739,5.00,973181.69,0.00015459,0.00
2025-12-02 19:05:00,sell,129931000.0000,0.00015459,10.04,993257.94,0.00000000,66.25
2025-12-02 22:00:00,buy,130175000.0000,0.00007682,5.00,983252.94,0.00007682,0.00
2025-12-02 22:05:00,buy,130132000.0000,0.00007685,5.00,973247.94,0.00015366,0.00
2025-12-02 22:15:00,buy,130421000.0000,0.00007667,5.00,963242.94,0.00023034,0.00
2025-12-02 22:50:00,sell,130941000.0000,0.00023034,15.08,993388.74,0.00000000,130.80
2025-12-03 05:10:00,buy,136181000.0000,0.00007343,5.00,983383.74,0.00007343,0.00
2025-12-03 05:15:00,buy,135610000.0000,0.00007374,5.00,973378.74,0.00014717,0.00
2025-12-03 05:20:00,buy,135699000.0000,0.00007369,5.00,963373.74,0.00022087,0.00
2025-12-03 05:25:00,buy,135344000.0000,0.00007389,5.00,953368.74,0.00029475,0.00
2025-12-03 05:30:00,buy,135355000.0000,0.00007388,5.00,943363.74,0.00036863,0.00
2025-12-03 05:35:00,buy,135002000.0000,0.00007407,5.00,933358.74,0.00044270,0.00
2025-12-03 05:40:00,buy,135205000.0000,0.00007396,5.00,923353.74,0.00051667,0.00
2025-12-03 05:45:00,buy,135260000.0000,0.00007393,5.00,913348.74,0.00059060,0.00
2025-12-03 05:50:00,buy,135374000.0000,0.00007387,5.00,903343.74,0.00066447,0.00
2025-12-03 05:55:00,buy,135358000.0000,0.00007388,5.00,893338.74,0.00073834,0.00
2025-12-03 06:00:00,buy,135581000.0000,0.00007376,5.00,883333.74,0.00081210,0.00
2025-12-03 06:45:00,sell,135964000.0000,0.00081210,55.21,993695.08,0.00000000,306.34
